식별 ID,수집한 플랫폼,수집한 종목,날짜,뉴스 제목,뉴스 내용
0008141092,네이버,삼성전자,2025-03-20T11:35:00+09:00,이재명도 '엄지척' 삼성 싸피 성과 재조명…7000명 취업 성공,"매년 청년 2000명 무상 교육…교육 지원금 100만원 지급
SW 개발자 양성 교육…고졸 미취업자에게도 문호 개방
서울 강남구 '삼성청년SW아카데미' 서울캠퍼스에서 열린 SSAFY 13기 입학식에 참석한 교육생들이 기념 촬영을 하고 있다. (사진제공 = 삼성전자)


(서울=뉴스1) 박기호 기자 = 이재명 더불어민주당 대표의 방문으로 '삼성 청년SW아카데미'(SSAFY, 싸피)에 이목이 쏠리고 있다. 특히 이곳을 통해 약 7000명의 청년이 취업에 성공한 점도 재조명 받고 있다.

이 대표는 이날 오전 서울 강남구 소재 싸피를 찾아 이재용 회장을 비롯한 삼성 경영진과 간담회를 가졌다.

이 대표는 ""청년에게 이런 일을 해줘서 감사하다""며 ""요즘은 우리가 살아온 시대와 달라서 청년들의 기회 찾기가 힘들다. 새로운 길을 삼성에서 역량을 쏟아서 열어주고 계신 점 감사하고 고맙다""고 말했다.

싸피는 삼성이 국내 소프트웨어(SW) 생태계 저변을 확대하고 청년 취업 경쟁력을 높이기 위해 운영하는 CSR 프로그램이다.

싸피는 1기수당 1000명씩 매년 2기수의 교육생을 모집, 연간 2000명을 교육하고 있다. 현재 서울과 부산·광주·대전광역시, 경북 구미시 등 총 5곳에서 운영 중이다.

싸피는 1년간 매일 8시간씩 총 1600시간의 집중적인 교육과 교육생 간 협업 프로젝트 등을 통해 기업에 즉각 투입할 수 있는 역량을 갖춘 SW 개발자 양성 과정을 운영하고 있다.

삼성이 교육 과정상 모든 비용을 부담한다. 교육 과정은 무상이며 교육생 전원에게는 매달 100만 원씩 교육 지원금을 지급한다.

취업에 실질적인 도움을 주기 위해 채용 박람회, 기업 설명회를 실시하고 취업 지원센터를 운영, 진로 상담과 면접 컨설팅, 채용 정보를 상시로 제공하고 있다.

특히 대졸 미취업자를 대상으로 교육했지만 고졸 미취업자에게도 문호를 열었다. 올해 1월부터 교육을 시작한 싸피 13기에는 마이스터고등학교 졸업생도 교육생으로 입학했다.

2018년 12월 1기 교육을 시작한 후 12기 조기 취업자까지 포함하면 약 7000명이 취업에 성공했다. 싸피 수료생들은 삼성전자를 비롯해 네이버, 카카오, 현대모비스, SK C&C, 신한은행, KB국민은행, 하나은행, 우리은행 등 국내 기업과 해외 기업까지 채용된 사례를 포함하면 취업한 기업의 수는 1700여개에 달한 것으로 알려졌다. 주요 기업들도 채용 시 싸피 수료생에 대한 우대 정책을 실시하고 있다."
0015276556,네이버,삼성전자,2025-03-20T11:33:00+09:00,교육생 격려하는 이재명 대표와 이재용 회장,"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표와 이재용 삼성전자 회장이 20일 서울 강남구 삼성 청년 소프트웨어 아카데미(SSAFY)에서 열린 '청년 취업 지원 현장 간담회'에서 교육생들을 격려하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0002445043,네이버,삼성전자,2025-03-20T11:33:00+09:00,이재용 만난 이재명 “삼성 잘돼야 투자자도 산다”,"李, 삼성 싸피 방문…이재용과 회동
건물 1층서 만나 엘리베이터로 이동
이재명 “경제성장 견인차 역할 기대”
이재용 “청년 위해 미래 투자 믿음”


이재명(왼쪽) 더불어민주당 대표가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 청년 취업 지원을 위한 현장 간담회에 참석해 로비에 마중 나온 이재용 삼성전자 회장과 인사하고 있다. [연합]


이재명 더불어민주당 대표가 20일 이재용 삼성전자 회장을 만났다. 이 대표는 “기업이 잘 돼야 나라가 잘 되고 삼성이 잘 살아야 삼성에 투자한 사람들도 잘 산다”고 했다. 최근 부쩍 더 민생과 경제에 방점을 찍으며 보폭을 넓히고 있는 이 대표가 국내 시가총액 1위 기업인 삼성전자를 이끄는 이 회장을 만나 친기업 행보를 이어가는 모습이다.

이 대표는 이날 오전 서울 강남구 싸피(SSAFY·삼성 청년 소프트웨어 아카데미)에 방문해 공개 발언을 통해 “우리 회장님 이렇게 뵙게 돼서 반갑고 오늘 삼성 방문하게 돼 영광으로 생각한다”고 말했다. 이날 환담은 건물 11층에서 진행됐는데, 이 회장은 싸피 건물 1층 로비에서 이 대표를 맞이하고 함께 엘리베이터를 타고서 환담 장소로 이동했다.

이 대표는 “경제 상황이 매우 어렵긴 한데 그래도 결국 우리 역량으로, 의지로 잘 이겨낼 거라 생각한다”며 “사실 요즘처럼 경제 상황이 어려우면 사람들의 삶이 어려워진다”고 했다.

이어 “결국 일자리든 삶의 질이든 다 경제활동에서 나오는 건데 글로벌 경쟁이 격화된 세상이라 대기업의 국제 경쟁력을 키우는 게 중요하다”며 “너무 잘하고 계시긴 하지만 최근 어려움을 이겨내고, 어려움을 이겨내는 과정에서 훌륭한 생태계가 또 만들어지고 많은 사람들이 과실을 누리면서 새로운 세상을 확실하게 열어가기를 기대한다”고 했다.

또 “모두를 위한 삼성, 경제 성장에 지금까지 해왔던 것처럼 견인차 역할을 잘 해주길 기대한다”며 “청년들에 대해서도 각별한 관심 가져주시는 점 감사하게 생각한다”고 말했다. 그러면서 “요즘은 우리가 살아온 시대와는 좀 달라서 청년들이 기회를 찾기가 어려운 것 같다”며 “기회를 찾는 그 새로운 길을 삼성에서 역량 쏟아서 진전되게 해주어 감사하다”고 덧붙였다.

이 대표에 앞서 이 회장은 “싸피를 방문해주셔서 진심으로 환영한다”며 “싸피를 아주 간단히 설명드리면, 저희 삼성 소프트웨어의 역량을 가지고 동행, 우리 사회와의 동행이란 이름 아래, 대한민국의 미래 그리고 진짜 대한민국의 미래인 우리 청년들의 미래를 위해서 저희가 단순히 사회공헌을 떠나서 우리 미래에 투자한다는 그런 믿음으로 지금까지 끌고 왔다”고 소개했다.

이어 “우리 싸피 교육생들도, 우리 대한민국의 미래를, 또 AI(인공지능) 미래를 짊어지고 나갈 청년들이 방문해주신 점 정말 감사드린다. 아마 기를 많이 받을 것 같다”고 했다.

두 사람은 각각 공개발언 후 비공개 대화를 나눴다. 이 대표가 싸피 교육생 수를 묻고 이 회장이 답하기도 하고, 이 대표가 캠퍼스 현황을 묻기도 했다.

이날 이 대표의 싸피 방문은 청년 취업 지원 논의에 초점이 맞춰졌다. 실물 경기 불황 속에 청년들의 사회 진출 지원 방안을 모색하는 차원이다. 싸피는 1년 간 총 1600시간의 교육 및 협업 프로젝트를 통해 청년 개발자를 양성하는 프로그램이다.

이 대표와 이 회장의 만남은 대화 주제도 주제지만 만남 자체가 적지 않은 의미를 지닌다는 해석이 나온다. 원내 1당 대표이자 각종 여론조사에서 차기 대권주자 1위를 달리는 이 대표와 국내 시총 1위 기업을 이끄는 이 회장이 공개석상에서 한자리에서 마주하는 것이기 때문이다.

이 대표는 대기업을 포함한 경제계와의 연쇄 회동을 하고 있다. 수권 역량을 증명해야 하는 과제를 안고 있는 이 대표는 지난 1월 ‘기업 친화 기반 성장’이 최우선이라고 언급한 이후 경제를 비롯한 민생 이슈에 더욱 초점을 맞춰 보폭을 넓히는 중이다.

민주당 관계자는 앞서 지난 4일 이 대표의 싸피 방문 계획을 공지하며 “그동안 SK, 현대, 중소기업 등을 찾는 기업 현장 방문 일정이 있었다. 삼성에도 제안했던 바 있다”라며 “다른 기업과 만나는 일정도 협의가 완료되면 순차적으로 공지하겠다”고 설명했다. 이 대표는 지난달 20일 현대자동차 아산공장을 방문했고, 지난 5일에는 한국경제인협회(한경협)를 국회로 초청해 간담회 자리를 마련하기도 했다. 안대용·양근혁 기자"
0015276550,네이버,삼성전자,2025-03-20T11:32:00+09:00,"이재명, 이재용 만나 '친기업' 메시지…중도층 공략 속도","'반재벌 이미지' 불식하며 조기대선 행보…지지층 동요 잠재울까


악수하는 이재명 대표와 이재용 회장
(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(오른쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 열린 청년 취업 지원을 위한 현장 간담회에서 이재용 삼성전자 회장과 악수하고 있다. 2025.3.20 [공동취재] pdj6635@yna.co.kr


(서울=연합뉴스) 설승은 기자 = 더불어민주당 이재명 대표가 20일 이재용 삼성전자 회장과 마주 앉아 기업의 성장을 강조하며 '친기업·우클릭' 행보에 다시 힘을 실었다.

이 대표는 이날 서울 강남구에 있는 '삼성 청년 SW 아카데미'(SSAFY)에서 이 회장과 함께 현장 간담회를 열어 청년의 사회 진출 지원 방안을 논의했다.

이 대표는 이 회장에게 ""기업이 잘 돼야 나라가 잘된다. 삼성이 잘 돼야 삼성에 투자한 사람도 잘 산다""며 ""대기업의 국제경쟁력을 키우는 것이 정말로 중요하다""고 강조했다.

이 대표는 조기 대선 정국을 겨냥한 중도·보수층 공략을 위해 연초부터 '회복과 성장'이라는 슬로건 아래 경제 성장을 중시하는 행보를 이어왔으며, 이날 또다시 '친기업 메시지'를 발신한 것이다.

이 대표는 앞서 지난달 20일 충남 아산에 있는 현대차 공장을 찾아서도 ""기업의 성장은 경제 성장의 전부""라면서 전략 산업 분야에 대한 국내 생산 촉진 지원 세제 도입을 제안했다.

같은 달 5일엔 삼성과 현대차, SK, LG 등 4대 그룹 싱크탱크 수장을 국회로 초청해 미국 트럼프 2기 행정부의 통상정책 변화에 대한 대응책을 논의하고 ""일선 기업인과 경제인들의 의견이 제일 중요하다""고 말했다.

이 대표는 최근 보수 논객 정규재 씨와 대담에서도 최근 친기업·우클릭 행보가 '재벌 해체'를 주장한 과거 발언과 배치된다는 지적에 ""재벌의 병폐가 더 커지지 않았고 많이 완화됐다. 지금은 국제 경쟁이 더 중요하다""며 ""제 생각이 일부 변한 것도 있다""고 답하기도 했다.

민주당의 전통적인 지지 기반이 노동계였던 데서 구축된 '반(反)대기업·반재벌' 이미지를 깨고 중도·보수층에 소구하려는 전략으로 읽힌다.

악수하는 이재용-이재명
(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(오른쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 열린 청년 취업 지원을 위한 현장 간담회에 참석해 로비에 마중 나온 이재용 삼성전자 회장과 인사하고 있다. 2025.3.20 [공동취재] pdj6635@yna.co.kr


한편, 헌법재판소의 윤석열 대통령 탄핵 심판 선고가 예상보다 늦어지는 가운데 이 대표의 이같은 행보가 선고 지연에 따른 지지층의 불안감을 달랠 수 있을지 주목된다.

이 대표가 전날 마은혁 헌법재판관 후보자를 임명하지 않고 있는 최상목 대통령 권한대행 부총리 겸 기획재정부 장관을 향해 '몸조심'을 경고하는 발언으로 논란이 된 것도 헌재 선고가 늦어지는 데 따른 초조함 때문이라는 해석도 일각에서 나왔다.

이 대표가 이날 국내 최대 기업인 삼성전자의 수장을 만나 조기 대선 행보의 연장선을 그린 만큼 지지층의 동요도 어느 정도 가라앉을 수 있다는 전망이 일각에서 제기된다.

ses@yna.co.kr"
0005564138,네이버,삼성전자,2025-03-20T11:28:00+09:00,"삼성SDS, SAP와 클라우드 ERP 사업 강화 나선다","클라우드 ERP 사업 확대를 위한 파트너십 강화키로
삼성SDS(삼성에스디에스)가 글로벌 정보기술(IT) 기업 SAP와 클라우드 ERP(전사적 자원관리) 사업 협력을 고도화한다.

삼성SDS는 서울 송파구 잠실캠퍼스에서 이준희 삼성SDS 대표이사와 크리스티안 클라인 SAP 최고경영자(CEO)가 클라우드 사업 전략에 대해 협의했다고 20일 밝혔다.

이준희 삼성SDS 이준희 대표이사와 크리스티안 클라인 SAP 최고경영자(CEO)가 클라우드 ERP 사업 확대를 공동 추진하기로 20일 합의했다. 삼성SDS 제공


양사는 삼성SDS의 ERP 구축, 운영 역량을 바탕으로 클라우드 ERP 사업 확대를 공동으로 추진하기로 합의했다. 특히 공공, 금융, 방산 등 규제 산업군에 대한 클라우드 ERP 도입을 위해 협력을 강화할 계획이다. ERP는 기업의 재무, 영업, 구매 등에서 핵심 업무 프로세스를 연계해 주요 의사 결정을 돕는 업무 통합시스템을 뜻한다.

향후 양사는 전략적 협업을 클라우드 ERP 기반 인공지능(AI) 및 하이퍼 오토메이션 영역으로 확대할 예정이다.

클라인 CEO는 ""삼성SDS는 SAP의 오랜 고객이자 전략적인 파트너이며, 세계 최고 수준의 클라우드 및 ERP 구축·운영 역량을 보유하고 있다""면서 ""이번 협력을 계기로 한국의 고객들에게 수준 높은 SAP의 클라우드 ERP 서비스를 제공할 수 있기를 기대한다""고 말했다.

이 대표는 ""기업 운영의 핵심이 되는 ERP 시스템을 클라우드로 이관하기 위해서는 높은 보안 수준과 안정적인 서비스가 제공되는 클라우드 환경이 필요하다""며 ""삼성SDS는 세계 최대 규모인 삼성전자의 SAP ERP를 안정적으로 운영하는 등 최고 수준의 ERP 운영과 클라우드 역량을 보유하고 있다. 이를 기반으로 SAP와 협력을 강화하여 고객들에게 한층 업그레이드된 서비스를 제공할 것""이라고 밝혔다."
0003294982,네이버,삼성전자,2025-03-20T11:23:00+09:00,삼성청년SW아카데미서 만난 이재명-이재용,이재명 더불어민주당 대표(왼쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 청년 취업 지원을 위한 현장 간담회에 참석해 로비에 마중 나온 이재용 삼성전자 회장과 악수하고 있다.
0003294985,네이버,삼성전자,2025-03-20T11:23:00+09:00,이재용 만난 이재명,이재명 더불어민주당 대표와 이재용 삼성전자 회장이 20일 서울 강남구 삼성 청년 소프트웨어 아카데미(SSAFY)에서 열린 '청년 취업 지원 현장 간담회'에 앞서 환담하고 있다.
0002367411,네이버,삼성전자,2025-03-20T11:23:00+09:00,"韓-佛 과학자, 물리학 이론 깼다…세계 최초 'AA구조' 적층 소재 합성 성공","양자 기술· 차세대 초소형 전자기기에 활용 가능…""2차원 소재 산업화 전환점될 것""
자석은 같은 극끼리 밀어낸다. 같은 소재의 원자 적층에서도 마찬가지 현상이 발생한다. 이 같은 물리학 법칙을 한국과 프랑스 연구진이 깼다.

POSTECH(포항공과대학교)은 신소재공학과 김종규 교수 연구팀이 프랑스 몽펠리에대학교와 함께 과학계에서 ‘불가능’하다고 여겨졌던 새로운 형태의 원자 배열로 신소재를 합성하는데 성공했다고 20일 밝혔다.

연구팀은 2차원 물질인 ‘육방정계 질화붕소(h-BN1)’로 여러 층이 정확하게 겹치는 새로운 형태의 'AA 구조'(붕소 위에 붕소, 질소 위에 질소가 쌓이는 형태)를 실현했다.

원자 적층에서 'AA구조'를 실현한 POSTECH 연구진. 왼쪽부터_김종규교수, 문석호 박사,최시영 교수.

h-BN은 지금까지 붕소와 질소가 '교차 정렬된' 형태의 'AA 프라임 구조'로만 적층이 가능하다는 것이 정설이었다. 같은 극을 가진 자석이 서로 밀어내듯 같은 소재의 원자도 서로 밀어내 열역학적으로 매우 불안정해져 일정한 정렬 상태를 유지할 수 없기 때문이다.

연구팀은 이 연구에서 2인치 크기의 단결정 질화갈륨(GaN) 웨이퍼를 기판으로 사용했다. 또 질화갈륨 표면의 계단 구조를 ‘성장 가이드’로 활용해 h-BN이 일정한 방향으로 정렬되도록 유도해 'AA 구조'를 구현했다.

기존 연구는 주로 구리(Cu), 니켈(Ni) 등 금속이나 사파이어 기판을 사용한다.

연구팀은 전자를 소량 도입하는 ‘도핑’ 기술을 통해 불안정하다고 여겨졌던 이 'AA구조'가 오히려 더 안정적이라는 사실도 밝혀냈다.

김종규 교수는 ""h-BN뿐만 아니라 2차원 반도체 물질 적층에도 적용 가능하다""며 ""향후 양자 기술이나 차세대 초소형 전자기기 연구에 중요한 전환점이 될 것""으로 기대했다.

김 교수는 “대외부총장도 맡아 대학 행정과 연구를 병행하는 것은 결코 쉬운 일이 아니었다""며 ""단순한 과학적 발견을 넘어 2차원 소재 산업화의 중요한 전환점을 마련할 것”이라고 말했다.

기존의 'AA프라임' 적층 h-BN(중앙 아래그림)과 'AA' 적층 h-BN의주사투과전자현미경 이미지 및 모식도.(그래픽=POSTECH)

연구를 함께 수행한 문석호 박사는 ""전하 도핑과 기판 계면 설계를 통해 원자층 적층 구조를 제어할 수 있다는 점을 실험과 이론으로 입증한 연구""라며 이번 연구에 의미를 부여했다.

이 연구에는 POSTECH 신소재공학과 김종규 교수와 문석호 박사 외에 최시영 교수와 프랑스 몽펠리에대 기욤 카사부아(Guillaume Cassabois) 교수 연구팀이 참여했다.

연구결과는 재료과학 분야 국제 학술지 ‘네이처 머터리얼즈(Nature Materials)’에 지난 19일 게재됐다.

한편, 이 연구는 교육부 글로벌박사펠로우십사업, 기초과학연구역량강화사업 (소재이미징 해석연구센터), 과학기술정보통신부 중견연구자지원사업, 나노및 소재기술개발사업, 산업자원부 전자부품산업기술개발사업, 삼성전자 등의 지원을 받았다."
0003294991,네이버,삼성전자,2025-03-20T11:23:00+09:00,밝게 웃으며 인사나누는 이재용-이재명,이재명 더불어민주당 대표(오른쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 청년 취업 지원을 위한 현장 간담회에 참석해 로비에 마중 나온 이재용 삼성전자 회장과 악수하고 있다.
0003294983,네이버,삼성전자,2025-03-20T11:23:00+09:00,악수나누는 이재용-이재명,이재명 더불어민주당 대표와 이재용 삼성전자 회장이 20일 오전 서울 강남구 사피(SSAFY·삼성청년소프트웨어)아카데미에서 악수를 나누고 있다.
